# wavelength_A flux_erg/s/cm2/A
# # Teff=420.0 logg=0.1 [M/H]=0.1
1.000000e+02 4.648089e+08
1.006939e+02 1.958982e+15
1.013925e+02 1.464796e+22
1.020961e+02 1.038910e+08
1.028045e+02 3.433726e-01
1.035178e+02 1.716019e-01
1.042361e+02 4.612513e+07
1.049593e+02 7.400024e+05
1.056876e+02 2.379153e+03
1.064209e+02 1.472673e+00
1.071593e+02 2.397467e-01
1.079029e+02 6.243694e-09
1.086516e+02 2.699743e-03
1.094055e+02 6.455134e-04
1.101646e+02 2.944862e-01
1.109290e+02 4.093627e-01
1.116987e+02 7.509342e+01
1.124737e+02 1.251872e-09
1.132541e+02 3.600574e+06
1.140400e+02 6.853053e+02
1.148312e+02 5.362923e+13
1.156280e+02 3.170350e+10
1.164303e+02 3.604301e+02
1.172382e+02 2.826687e+07
1.180517e+02 9.667822e+15
1.188708e+02 9.338924e-06
1.196956e+02 2.542177e+08
1.205261e+02 9.682950e+08
1.213624e+02 6.211707e+21
1.222045e+02 1.418616e+02
1.230524e+02 5.236992e+15
1.239062e+02 1.425750e-04
1.247660e+02 2.407705e+01
1.256317e+02 3.031984e+03
1.265034e+02 3.617929e+02
1.273811e+02 7.585207e-01
1.282650e+02 1.192750e+05
1.291550e+02 2.177357e+05
1.300511e+02 3.435333e-11
1.309535e+02 3.545573e-01
1.318621e+02 2.306418e-13
1.327771e+02 5.255586e+09
1.336984e+02 8.737299e+02
1.346261e+02 8.699590e+01
1.355602e+02 3.193583e+04
1.365008e+02 2.164058e+09
1.374479e+02 9.195390e+03
1.384016e+02 1.291180e+02
1.393619e+02 6.305739e-05
1.403289e+02 7.903814e+05
1.413026e+02 6.198572e+08
1.422830e+02 1.187033e+10
1.432703e+02 6.788566e+00
1.442644e+02 1.046594e+11
1.452654e+02 4.226806e+02
1.462733e+02 6.787936e-01
1.472883e+02 3.424908e-34
1.483103e+02 1.313330e-33
1.493393e+02 1.235109e-33
1.503755e+02 4.218187e-35
1.514189e+02 1.795276e-34
1.524696e+02 1.667497e-33
1.535275e+02 3.865791e-35
1.545928e+02 1.196402e-35
1.556654e+02 2.772156e-34
1.567455e+02 3.991808e-34
1.578331e+02 7.279069e-35
1.589283e+02 2.649200e-35
1.600310e+02 8.260884e-34
1.611414e+02 4.212856e-34
1.622595e+02 7.297441e-34
1.633854e+02 7.044448e-35
1.645191e+02 4.175133e-36
1.656606e+02 1.169676e-35
1.668101e+02 1.053153e-35
1.679675e+02 3.177285e-35
1.691330e+02 5.292484e-37
1.703065e+02 1.368611e-34
1.714882e+02 1.450450e-34
