# wavelength_A flux_erg/s/cm2/A
# # Teff=6969.0 logg=2.3 [M/H]=0.042
1.000000e+02 4.893105e+02
1.006939e+02 4.124286e-07
1.013925e+02 1.597447e+04
1.020961e+02 1.283161e+08
1.028045e+02 2.088388e+03
1.035178e+02 1.040393e+05
1.042361e+02 1.033894e+01
1.049593e+02 5.744889e+06
1.056876e+02 1.458893e+04
1.064209e+02 2.003176e+04
1.071593e+02 6.253467e+02
1.079029e+02 1.589748e+08
1.086516e+02 4.719908e+02
1.094055e+02 2.431658e+05
1.101646e+02 1.212208e+05
1.109290e+02 6.859426e+02
1.116987e+02 3.699942e+00
1.124737e+02 1.073274e+01
1.132541e+02 5.302264e-04
1.140400e+02 1.518363e+06
1.148312e+02 6.645226e+07
1.156280e+02 2.645207e+02
1.164303e+02 3.427805e+02
1.172382e+02 3.360587e-01
1.180517e+02 1.509867e+02
1.188708e+02 2.447915e+04
1.196956e+02 1.856734e+06
1.205261e+02 8.614258e-01
1.213624e+02 2.793735e+01
1.222045e+02 5.123889e-03
1.230524e+02 1.270293e+02
1.239062e+02 6.041850e+06
1.247660e+02 8.379752e+04
1.256317e+02 5.647678e+00
1.265034e+02 1.699751e+04
1.273811e+02 1.718537e+05
1.282650e+02 5.397623e+04
1.291550e+02 1.747092e+05
1.300511e+02 3.841820e+04
1.309535e+02 7.887844e+08
1.318621e+02 1.015291e+03
1.327771e+02 4.376377e+03
1.336984e+02 9.442462e+03
1.346261e+02 6.553132e-04
1.355602e+02 2.074268e+06
1.365008e+02 1.227786e+09
1.374479e+02 2.794182e+07
1.384016e+02 1.578522e+05
1.393619e+02 1.037243e+10
1.403289e+02 2.876152e+07
1.413026e+02 2.019767e+06
1.422830e+02 6.106108e+02
1.432703e+02 1.524376e+06
1.442644e+02 2.815021e+03
1.452654e+02 1.474542e+06
1.462733e+02 2.320600e-01
1.472883e+02 5.769079e-31
1.483103e+02 4.722183e-31
1.493393e+02 4.118151e-31
1.503755e+02 8.067381e-31
1.514189e+02 5.824067e-31
1.524696e+02 5.048043e-31
1.535275e+02 3.939472e-31
1.545928e+02 8.962808e-31
1.556654e+02 7.254462e-31
1.567455e+02 7.871597e-31
1.578331e+02 4.466087e-31
1.589283e+02 5.131735e-31
1.600310e+02 7.622764e-31
1.611414e+02 9.060405e-31
1.622595e+02 7.915625e-31
1.633854e+02 8.822060e-31
1.645191e+02 8.281408e-31
1.656606e+02 6.832527e-31
1.668101e+02 7.581298e-31
1.679675e+02 1.104897e-30
1.691330e+02 1.158099e-30
1.703065e+02 8.950850e-31
1.714882e+02 1.178312e-30
1.726781e+02 8.036121e-31
1.738762e+02 7.739211e-31
1.750827e+02 1.212924e-30
1.762975e+02 1.368773e-30
1.775208e+02 1.097487e-30
1.787526e+02 6.685007e-31
1.799929e+02 1.002661e-30
1.812418e+02 7.778398e-31
1.824993e+02 1.164596e-30
1.837656e+02 7.536681e-31
1.850407e+02 1.625279e-30
1.863246e+02 1.954298e-30
1.876175e+02 2.201226e-30
1.889193e+02 9.174524e-31
1.902301e+02 1.115800e-30
1.915501e+02 7.028224e-31
1.928792e+02 8.309096e-31
1.942175e+02 1.049464e-30
1.955651e+02 1.017450e-30
1.969220e+02 1.234898e-30
1.982884e+02 9.440120e-31
1.996642e+02 7.732212e-31
2.010496e+02 6.955144e-31
2.024447e+02 1.180675e-30
2.038493e+02 1.306754e-30
2.052638e+02 1.832421e-30
2.066880e+02 1.828466e-30
2.081222e+02 2.105460e-30
2.095662e+02 1.552564e-30
2.110203e+02 1.455344e-30
2.124845e+02 1.528720e-30
2.139589e+02 1.900783e-30
2.154435e+02 1.797178e-30
2.169384e+02 2.878951e-30
2.184436e+02 1.145976e-30
2.199593e+02 1.231659e-30
2.214855e+02 1.580718e-30
2.230223e+02 1.630756e-30
2.245698e+02 1.568492e-30
2.261280e+02 1.650151e-30
2.276970e+02 1.139772e-30
2.292769e+02 2.089579e-30
2.308678e+02 2.036416e-30
2.324697e+02 1.449807e-30
2.340827e+02 1.420574e-30
2.357069e+02 2.230460e-30
2.373424e+02 8.726877e-31
2.389893e+02 2.223184e-30
2.406475e+02 1.459120e-30
2.423173e+02 1.550656e-30
2.439986e+02 1.880853e-30
2.456916e+02 1.080158e-30
2.473964e+02 2.191599e-30
2.491130e+02 1.714240e-30
2.508415e+02 1.687469e-30
2.525820e+02 1.396572e-30
2.543346e+02 1.296988e-30
2.560993e+02 1.084160e-30
2.578763e+02 2.764023e-30
2.596656e+02 1.643439e-30
2.614673e+02 9.877912e-31
2.632815e+02 1.598647e-30
2.651084e+02 1.308373e-30
2.669478e+02 1.259789e-30
2.688001e+02 1.362488e-30
2.706652e+02 1.489709e-30
2.725433e+02 1.015914e-30
2.744343e+02 1.536447e-30
2.763385e+02 1.209605e-30
2.782559e+02 1.157529e-30
2.801867e+02 1.143020e-30
2.821308e+02 1.213446e-30
2.840884e+02 9.433903e-31
2.860596e+02 7.433656e-31
2.880444e+02 8.322755e-31
2.900430e+02 6.940193e-31
2.920556e+02 9.131912e-31
2.940820e+02 9.673046e-31
2.961225e+02 6.916337e-31
2.981772e+02 7.095089e-31
3.002462e+02 9.910154e-31
3.023295e+02 5.805272e-31
3.044272e+02 6.561156e-31
3.065395e+02 1.345469e-30
3.086665e+02 1.393007e-30
3.108082e+02 7.831803e-31
3.129648e+02 1.075906e-30
3.151363e+02 1.173881e-30
3.173230e+02 1.365675e-30
3.195248e+02 2.212256e-30
3.217418e+02 2.276239e-30
3.239743e+02 1.748979e-30
3.262222e+02 1.443390e-30
3.284857e+02 2.655012e-30
3.307650e+02 3.732277e-30
3.330600e+02 3.427963e-30
3.353710e+02 4.406236e-30
3.376980e+02 6.765581e-30
3.400412e+02 1.042912e-29
3.424006e+02 1.678599e-29
3.447764e+02 1.487401e-29
3.471687e+02 1.495202e-29
3.495776e+02 3.093200e-29
3.520031e+02 3.787212e-29
3.544456e+02 5.404264e-29
3.569049e+02 9.317293e-29
3.593814e+02 1.357596e-28
3.618750e+02 8.134552e-29
3.643859e+02 3.350490e-28
3.669142e+02 5.846286e-28
3.694601e+02 6.031298e-28
3.720237e+02 8.896335e-28
3.746050e+02 1.392065e-27
3.772042e+02 2.163978e-27
3.798215e+02 6.828418e-27
3.824570e+02 5.727349e-27
3.851107e+02 8.940438e-27
3.877828e+02 1.156843e-26
3.904735e+02 3.411922e-26
3.931829e+02 4.348467e-26
3.959110e+02 7.920493e-26
3.986581e+02 1.117914e-25
4.014242e+02 2.291998e-25
4.042096e+02 1.103204e-25
4.070142e+02 4.207641e-25
4.098384e+02 5.686220e-25
4.126821e+02 1.579247e-24
4.155455e+02 1.984850e-24
4.184289e+02 5.188025e-24
4.213322e+02 3.620029e-24
4.242556e+02 5.766850e-24
4.271994e+02 1.012755e-23
4.301636e+02 2.211993e-23
4.331483e+02 3.267327e-23
4.361538e+02 7.460901e-23
4.391801e+02 7.216932e-23
4.422274e+02 1.620297e-22
4.452959e+02 3.606873e-22
4.483856e+02 2.953331e-22
4.514968e+02 5.286513e-22
4.546295e+02 8.641217e-22
4.577841e+02 1.382828e-21
4.609604e+02 2.942094e-21
4.641589e+02 3.797304e-21
4.673795e+02 4.085168e-21
4.706225e+02 9.060325e-21
4.738880e+02 1.803677e-20
4.771761e+02 2.397427e-20
4.804870e+02 2.398554e-20
4.838210e+02 5.564158e-20
4.871780e+02 1.105202e-19
4.905584e+02 1.244065e-19
4.939622e+02 3.102219e-19
4.973896e+02 3.511697e-19
5.008408e+02 7.243670e-19
5.043159e+02 1.150373e-18
5.078152e+02 1.716546e-18
5.113388e+02 3.160584e-18
5.148867e+02 5.269684e-18
5.184594e+02 5.883195e-18
5.220568e+02 1.362135e-17
5.256791e+02 2.100528e-17
5.293266e+02 2.272593e-17
5.329994e+02 5.143694e-17
5.366977e+02 4.257365e-17
5.404216e+02 1.066465e-16
5.441714e+02 1.583470e-16
5.479472e+02 2.480138e-16
5.517492e+02 2.031753e-16
5.555776e+02 3.537951e-16
5.594326e+02 5.440772e-16
5.633143e+02 6.728571e-16
5.672229e+02 8.135981e-16
5.711586e+02 1.883937e-15
5.751217e+02 2.610750e-15
5.791123e+02 2.732605e-15
5.831305e+02 5.534061e-15
5.871766e+02 5.691192e-15
5.912508e+02 1.357065e-14
5.953533e+02 1.190631e-14
5.994843e+02 1.022301e-14
