# wavelength_A flux_erg/s/cm2/A
# # Teff=420.0 logg=3.0 [M/H]=0.42
1.000000e+02 1.144572e+02
1.006939e+02 4.655209e-06
1.013925e+02 6.063408e-01
1.020961e+02 2.247979e+13
1.028045e+02 6.972317e+09
1.035178e+02 2.740038e+07
1.042361e+02 5.351606e+01
1.049593e+02 1.078388e+11
1.056876e+02 2.131975e+03
1.064209e+02 4.224176e+11
1.071593e+02 1.953768e+01
1.079029e+02 1.170408e+13
1.086516e+02 2.466463e+03
1.094055e+02 2.854357e+11
1.101646e+02 8.336011e+01
1.109290e+02 4.864713e-04
1.116987e+02 2.646229e+03
1.124737e+02 3.427315e-06
1.132541e+02 6.973293e-04
1.140400e+02 3.117872e+05
1.148312e+02 1.240491e+17
1.156280e+02 4.667049e+03
1.164303e+02 1.918433e-05
1.172382e+02 1.712336e-02
1.180517e+02 1.249494e+01
1.188708e+02 7.289786e+11
1.196956e+02 4.060980e-04
1.205261e+02 2.560813e-02
1.213624e+02 3.205541e+05
1.222045e+02 1.994114e-04
1.230524e+02 1.548939e+04
1.239062e+02 8.162770e+07
1.247660e+02 1.465489e+01
1.256317e+02 2.653698e+02
1.265034e+02 2.932475e+03
1.273811e+02 9.267362e+08
1.282650e+02 4.816011e+01
1.291550e+02 1.770358e+02
1.300511e+02 6.118365e+11
1.309535e+02 1.754210e+13
1.318621e+02 3.206930e-03
1.327771e+02 9.242061e+06
1.336984e+02 3.562958e+01
1.346261e+02 1.554296e-02
1.355602e+02 1.281792e+08
1.365008e+02 4.300483e+07
1.374479e+02 2.435577e+05
1.384016e+02 1.426786e+02
1.393619e+02 2.890023e+15
1.403289e+02 2.224632e+06
1.413026e+02 3.813168e+02
1.422830e+02 1.225070e-02
1.432703e+02 2.200023e+09
1.442644e+02 8.580558e+08
1.452654e+02 6.883534e+05
1.462733e+02 6.038202e-05
1.472883e+02 8.641407e-34
1.483103e+02 2.341825e-32
1.493393e+02 7.267473e-32
1.503755e+02 3.318274e-33
1.514189e+02 3.630633e-33
1.524696e+02 3.278971e-32
1.535275e+02 2.704250e-31
1.545928e+02 1.061898e-32
1.556654e+02 1.478628e-31
1.567455e+02 9.709650e-32
1.578331e+02 1.593390e-32
1.589283e+02 6.772419e-32
1.600310e+02 2.419322e-33
1.611414e+02 4.215040e-33
1.622595e+02 2.067052e-32
1.633854e+02 1.292428e-32
1.645191e+02 3.066917e-33
1.656606e+02 4.421356e-32
1.668101e+02 2.773837e-33
1.679675e+02 1.380637e-33
1.691330e+02 2.151611e-33
