# wavelength_A flux_erg/s/cm2/A
# # Teff=6969.69696 logg=2.0 [M/H]=0.069
1.000000e+02 4.346711e+02
1.006939e+02 3.940207e-07
1.013925e+02 1.345056e+04
1.020961e+02 1.537963e+08
1.028045e+02 2.330145e+03
1.035178e+02 8.500759e+04
1.042361e+02 9.385925e+00
1.049593e+02 6.717255e+06
1.056876e+02 1.071701e+04
1.064209e+02 2.427334e+04
1.071593e+02 6.072131e+02
1.079029e+02 1.553669e+08
1.086516e+02 4.213464e+02
1.094055e+02 2.819613e+05
1.101646e+02 1.131756e+05
1.109290e+02 5.979436e+02
1.116987e+02 3.538275e+00
1.124737e+02 1.169583e+01
1.132541e+02 5.104326e-04
1.140400e+02 1.418358e+06
1.148312e+02 7.297121e+07
1.156280e+02 2.962515e+02
1.164303e+02 2.966579e+02
1.172382e+02 3.160979e-01
1.180517e+02 1.496930e+02
1.188708e+02 2.596816e+04
1.196956e+02 1.353292e+06
1.205261e+02 8.712721e-01
1.213624e+02 3.236930e+01
1.222045e+02 5.933063e-03
1.230524e+02 9.590749e+01
1.239062e+02 5.558394e+06
1.247660e+02 8.454312e+04
1.256317e+02 5.609985e+00
1.265034e+02 1.940002e+04
1.273811e+02 2.004954e+05
1.282650e+02 5.226439e+04
1.291550e+02 1.521416e+05
1.300511e+02 3.881936e+04
1.309535e+02 7.607965e+08
1.318621e+02 8.535667e+02
1.327771e+02 5.343240e+03
1.336984e+02 9.316066e+03
1.346261e+02 8.780608e-04
1.355602e+02 2.123122e+06
1.365008e+02 1.131083e+09
1.374479e+02 2.436195e+07
1.384016e+02 1.363431e+05
1.393619e+02 9.453188e+09
1.403289e+02 2.393587e+07
1.413026e+02 1.897543e+06
1.422830e+02 5.924337e+02
1.432703e+02 1.880981e+06
1.442644e+02 3.266244e+03
1.452654e+02 1.501504e+06
1.462733e+02 2.302285e-01
1.472883e+02 7.540985e-31
1.483103e+02 5.538583e-31
1.493393e+02 4.905286e-31
1.503755e+02 9.822194e-31
1.514189e+02 7.444110e-31
1.524696e+02 5.965203e-31
1.535275e+02 4.934152e-31
1.545928e+02 1.104343e-30
1.556654e+02 8.137482e-31
1.567455e+02 8.786641e-31
1.578331e+02 5.093876e-31
1.589283e+02 6.129648e-31
1.600310e+02 9.560197e-31
1.611414e+02 1.058146e-30
1.622595e+02 8.600328e-31
1.633854e+02 1.121509e-30
1.645191e+02 1.039966e-30
1.656606e+02 8.500217e-31
1.668101e+02 9.263110e-31
1.679675e+02 1.335942e-30
1.691330e+02 1.386440e-30
1.703065e+02 9.858236e-31
1.714882e+02 1.173736e-30
1.726781e+02 8.936238e-31
1.738762e+02 8.731170e-31
1.750827e+02 1.291248e-30
1.762975e+02 1.671346e-30
1.775208e+02 1.380789e-30
1.787526e+02 7.958920e-31
1.799929e+02 1.168500e-30
1.812418e+02 9.557678e-31
1.824993e+02 1.381177e-30
1.837656e+02 8.738919e-31
1.850407e+02 1.821349e-30
1.863246e+02 2.167859e-30
1.876175e+02 2.461258e-30
1.889193e+02 9.828407e-31
1.902301e+02 1.296009e-30
1.915501e+02 8.411609e-31
1.928792e+02 9.890848e-31
1.942175e+02 1.203934e-30
1.955651e+02 1.199817e-30
1.969220e+02 1.537717e-30
1.982884e+02 1.138861e-30
1.996642e+02 9.632265e-31
2.010496e+02 8.222769e-31
2.024447e+02 1.486846e-30
2.038493e+02 1.468777e-30
2.052638e+02 2.168525e-30
2.066880e+02 2.113873e-30
2.081222e+02 2.657182e-30
2.095662e+02 1.764424e-30
2.110203e+02 1.899448e-30
2.124845e+02 1.767759e-30
2.139589e+02 2.475568e-30
2.154435e+02 2.238959e-30
2.169384e+02 3.660621e-30
2.184436e+02 1.514260e-30
2.199593e+02 1.468145e-30
2.214855e+02 1.930244e-30
2.230223e+02 2.033949e-30
2.245698e+02 1.851903e-30
2.261280e+02 2.064439e-30
2.276970e+02 1.500992e-30
2.292769e+02 2.429619e-30
2.308678e+02 2.416402e-30
2.324697e+02 1.694643e-30
2.340827e+02 1.854312e-30
2.357069e+02 2.570406e-30
2.373424e+02 1.066291e-30
2.389893e+02 2.878748e-30
2.406475e+02 1.781477e-30
2.423173e+02 1.888684e-30
2.439986e+02 2.396659e-30
2.456916e+02 1.455459e-30
2.473964e+02 2.451247e-30
2.491130e+02 2.159781e-30
2.508415e+02 1.950423e-30
2.525820e+02 1.734323e-30
2.543346e+02 1.652283e-30
2.560993e+02 1.423197e-30
2.578763e+02 3.560287e-30
2.596656e+02 1.880721e-30
2.614673e+02 1.264956e-30
2.632815e+02 1.958096e-30
2.651084e+02 1.736655e-30
2.669478e+02 1.371505e-30
2.688001e+02 1.538635e-30
2.706652e+02 1.842897e-30
2.725433e+02 1.169825e-30
2.744343e+02 1.695373e-30
2.763385e+02 1.520966e-30
2.782559e+02 1.476694e-30
2.801867e+02 1.485110e-30
2.821308e+02 1.509639e-30
2.840884e+02 1.099417e-30
2.860596e+02 9.187346e-31
2.880444e+02 1.022233e-30
2.900430e+02 8.694818e-31
2.920556e+02 1.088071e-30
2.940820e+02 1.044865e-30
2.961225e+02 7.865930e-31
